Player,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att,Succ,Carries,CPA,Rec,PrgR
Armando Broja,110,2,7,41,63,16,15,8,54,5,71,17
Dylan Bronn,1196,106,562,590,48,10,11,6,638,0,759,5
David Brooks,93,8,19,35,39,9,9,2,61,2,65,10
John Brooks,951,159,556,393,11,7,5,2,479,0,494,1
Moritz Broschinski,88,5,12,33,43,17,3,0,50,5,55,17
Marcelo Brozović,1696,81,439,987,291,22,27,16,1085,7,1218,35
Cédric Brunner,1402,106,524,609,279,10,15,9,621,2,642,27
Lewis Brunt,23,1,8,12,3,0,0,0,9,0,13,2
Jacob Bruun Larsen,124,1,9,52,65,16,7,2,74,5,85,24
Andreas Bruus,777,40,203,302,279,24,38,16,507,8,453,117
Joe Bryan,119,4,27,58,36,5,2,0,82,0,73,16
Lee Buchanan,350,29,125,145,86,9,7,0,168,1,185,20
Ante Budimir,563,18,36,254,281,118,34,16,259,10,398,98
Emi Buendía,1336,38,202,634,516,93,59,27,829,19,955,137
Hugo Bueno,835,53,318,275,249,14,33,13,396,4,446,64
Santiago Bueno,2098,194,1016,1038,54,17,4,2,1305,0,1447,4
